⿱⿱白巛⿰⿱白巛⿱白巛	['𢀎', '𤿄']
⿱⿻弓人一	['𢎮', '𢎶']
⿰⺸⿱㢴土	['𢐽', '𦏚']
⿰⺸𡍯	['𢐽X', '𦏚X']
⿰⿱彐𥸪糸	['𢑲', '𦄳']
⿷工彡	['𢒄', '𢒅']
⿰彳𤝵	['𢔷', '𢔺']
⿰忄霸	['𢥻', '𢥻']
⿰扌冗	['𢪚', '𢪨']
⿰扌匁	['𢪣X', '𢪤']
⿱𡘩手	['𢲓', '𦥹']
⿰⿱咸觱攴	['𣁀', '𧥙']
⿱昍昍	['𣊫', '𣊭']
⿰月兄	['𣍦', '𦙿']
⿰月曷	['𣎅', '𦝲']
⿰月尋	['𣎟', '𦠅']
⿱𠫓木	['𣏋', '𣐂K']
⿰木壳	['𣒆', '𣓘']
⿰木𠦑	['𣒏', '𣓙']
⿰木養	['𣝡', '𣞼']
⿱一④	['𣥄', '𣥄X']
⿰叜毛	['𣮯', '𣮸']
⿰氵𡉚	['𣳫T', '𣵭']
⿰氵亟	['𣶬', '𣷉']
⿰氵沗	['𣷹X', '𣸸']
⿲水㐬水	['𣹳', '𣻤T']
⿰氵𦊽	['𣽁', '𣾞']
⿰氵臮	['𣽍X', '𣾄']
⿰氵簾	['𤅃X', '𤅄']
⿰⿱又灰攵	['𤉺', '𤊮']
⿱炎荧	['𤐥', '𤑋']
⿰火龜	['𤒅', '𪚱']
⿰爿一	['𤕫', '𤕬']
⿸厂契	['𤟐X', '𭆌']
⿱𥄗玉	['𤦼', '𤧩']
⿰王寳	['𤫖', '𤫞']
⿰𫄾瓦	['𤮫', '𤮬X']
⿱殸𪏽	['𤯒', '𪐕']
⿰目叜	['𥈃', '𥈟']
⿰石叜	['𥔉', '𥔑']
⿰禾⿱酉灬	['𥡤T', '𥡱']
⿱穴⑦	['𥦐', '𥦪']
⿱竹洴	['𥰅', '𥲂']
⿱竹虛	['𥲤HT', '𥳁']
⿰米𠕋	['𥹣', '𥹤']
⿰糹⿱一㡀	['𦁥', '𦂲']
⿰糹𢍍	['𦃍', '𦅳']
⿱罒月	['𦊈', '𦚋']
⿳罒从誩	['𦌽', '𧮀']
⿱罒⿰𬾕𬾕	['𦌽', '𧮀']
⿰月董	['𦡂', '𦡦']
⿱艹自	['𦤄', '𦤅']
⿱艹⑥	['𦬝', '𦮙']
⿱艸仺	['𦭠', '𦭫']
⿳艹一⿰日又	['𦮆', '𦰨']
⿱艹姆	['𦰓X', '𦲝']
