⿰彳𤝵	['𢔷', '𢔺']
⿰忄霸	['𢥻', '𢥻']
⿰扌冗	['𢪚', '𢪨']
⿰扌匁	['𢪣', '𢪤']
⿱𡘩手	['𢲓', '𦥹']
⿰⿱咸觱攴	['𣁀', '𧥙']
⿱昍昍	['𣊫', '𣊭']
⿰月兄	['𣍦', '𦙿']
⿰月曷	['𣎅', '𦝲']
⿰月尋	['𣎟', '𦠅']
⿱𠫓木	['𣏋', '𣐂']
⿰木壳	['𣒆', '𣓘']
⿰木𠦑	['𣒏', '𣓙']
⿰木養	['𣝡', '𣞼']
⿱一④	['𣥄', '𣥄']
⿰叜毛	['𣮯', '𣮸']
⿰氵𡉚	['𣳫', '𣵭']
⿰氵亟	['𣶬', '𣷉']
⿰氵沗	['𣷹', '𣸸']
⿲水㐬水	['𣹳', '𣻤']
⿰氵𦊽	['𣽁', '𣾞']
⿰氵臮	['𣽍', '𣾄']
⿰氵簾	['𤅃', '𤅄']
⿰⿱又灰攵	['𤉺', '𤊮']
⿱炎荧	['𤐥', '𤑋']
⿰火龜	['𤒅', '𪚱']
⿰爿一	['𤕫', '𤕬']
⿸厂契	['𤟐', '𭆌']
⿱𥄗玉	['𤦼', '𤧩']
⿰王寳	['𤫖', '𤫞']
⿰𫄾瓦	['𤮫', '𤮬']
⿱殸𪏽	['𤯒', '𪐕']
⿰目叜	['𥈃', '𥈟']
⿰石叜	['𥔉', '𥔑']
⿰禾⿱酉灬	['𥡤', '𥡱']
⿱穴⑦	['𥦐', '𥦪']
⿱竹洴	['𥰅', '𥲂']
⿱竹虛	['𥲤', '𥳁']
⿰米𠕋	['𥹣', '𥹤']
⿰糹⿱一㡀	['𦁥', '𦂲']
⿰糹𢍍	['𦃍', '𦅳']
⿱罒月	['𦊈', '𦚋']
⿳罒从誩	['𦌽', '𧮀']
⿱罒⿰𬾕𬾕	['𦌽', '𧮀']
⿰月董	['𦡂', '𦡦']
⿱艹自	['𦤄', '𦤅']
⿱艹⑥	['𦬝', '𦮙']
⿱艸仺	['𦭠', '𦭫']
⿳艹一⿰日又	['𦮆', '𦰨']
⿱艹姆	['𦰓', '𦲝']
⿱艹穀	['𦾫', '𧂣']
⿱艹遝	['𦾽', '𦿚']
⿱艹𤕦	['𧂘', '𧃱']
⿱𫠨䖵	['𧋰', '𧒙']
⿱覀服	['𧟱', '𧟵']
⿰言⑥	['𧧚', '𧧛']
