⿱一㇉	丂	&CDP-875E;
⿱𡘩手	𢲓	𦥹
⿰⿱咸觱攴	𣁀	𧥙
⿱昍昍	𣊫	𣊭
⿰月兄	𣍦	𦙿
⿰月曷	𣎅	𦝲
⿰月尋	𣎟	𦠅
⿱𠫓木	𣏋	𣐂,K
⿰木壳	𣒆	𣓘
⿰木𠦑	𣒏	𣓙
⿰木養	𣝡	𣞼
⿰叜毛	𣮯	𣮸
⿰氵𡉚	𣳫,T	𣵭
⿰氵亟	𣶬	𣷉
⿰氵沗	𣷹,X	𣸸
⿲水㐬水	𣹳	𣻤,T
⿰氵𦊽	𣽁	𣾞
⿰氵臮	𣽍,X	𣾄
⿰氵簾	𤅃,X	𤅄
⿰⿱又灰攵	𤉺	𤊮
⿱炎荧	𤐥	𤑋
⿰火龜	𤒅	𪚱
⿰爿一	𤕫	𤕬
⿸厂契	𤟐,X	𭆌
⿱𥄗玉	𤦼	𤧩
⿰王寳	𤫖	𤫞
⿰𫄾瓦	𤮫	𤮬,X
⿱殸𪏽	𤯒	𪐕
⿰目叜	𥈃	𥈟
⿰石叜	𥔉	𥔑
⿰禾⿱酉灬	𥡤,T	𥡱
⿱竹洴	𥰅	𥲂
⿱竹虛	𥲤,HT	𥳁
⿰米𠕋	𥹣	𥹤
⿰糹⿱一㡀	𦁥	𦂲
⿰糹𢍍	𦃍	𦅳
⿱罒月	𦊈	𦚋
⿳罒从誩	𦌽	𧮀
⿱罒⿰𬾕𬾕	𦌽	𧮀
⿰月董	𦡂	𦡦
⿱艹自	𦤄	𦤅
⿱艸仺	𦭠	𦭫
⿳艹一⿰日又	𦮆	𦰨
⿱艹姆	𦰓,X	𦲝
⿱艹穀	𦾫	𧂣
⿱艹遝	𦾽	𦿚
⿱艹𤕦	𧂘	𧃱
⿱𫠨䖵	𧋰,X	𧒙
⿱覀服	𧟱,T	𧟵
⿱口止	𧾷	&CDP-8B6B;
⿺辶𦘔	𨔥	𨕛
⿺辶衆	𨖙,X	𨖼,X
⿺辶⿱臾土	𨖽	𨗭
⿺辶𡩙	𨗉	𮟏
⿵門廛	𨷠	𨷭
⿱雨㦰	𩃔	𩃢,X
⿰⿱䒑𠂈頁	𩑿	𩒋
⿰馬閙	𩦔	𩦴
⿰予鳥	𩿎	𩿗
⿱士方	𫠤,X	&CDP-8DB2;
⿳⺊𠕎木	𬃄	𭪢
⿸疒怱	𭼙	𭼚
⿱艹𪌜	𮒂	𮒩
⿰虫兔	𮔔	𮔛
